2026/05/07 23:12:46 socat[53134] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:46 socat[53135] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:46 socat[53158] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:46 socat[53159] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:48 socat[53217] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:48 socat[53260] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:48 socat[53319] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:49 socat[53383] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:12:49 socat[53442] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:09 socat[53992] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54053] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54102] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54154] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54163] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54174] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54200] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:13:10 socat[54230] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[54262] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:10 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:13:10 socat[54290] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:12 socat[54347] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:12 socat[54382] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:12 socat[54417] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:12 socat[54449] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:12 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:13:12 socat[54478] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:13 socat[54527] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:25 socat[55215] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:56 socat[55829] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:56 socat[55832] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:56 socat[55852] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:56 socat[55853] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:57 socat[55896] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:57 socat[55934] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:57 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:13:58 socat[55989] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:58 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:13:58 socat[56042] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:13:58 socat[56097] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:01 socat[56476] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:14:02 socat[56538] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[56588] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[56639] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[56646] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[56661] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[56686] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:02 socat[56719] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:03 socat[56749] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:03 socat[56778] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:05 socat[56821] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:05 socat[56855] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:05 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
2026/05/07 23:14:05 socat[56888] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:05 socat[56917] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:05 socat[56946] E read(6, 0x555eedf7c000, 8192): Connection reset by peer
2026/05/07 23:14:05 socat[50121] W waitpid(-1, {}, WNOHANG): no (more) child has exited
